,filename,columns
0,circuits.csv,circuitId
1,circuits.csv,circuitRef
2,circuits.csv,name
3,circuits.csv,location
4,circuits.csv,country
5,circuits.csv,lat
6,circuits.csv,lng
7,circuits.csv,alt
8,circuits.csv,url
0,constructorResults.csv,constructorResultsId
1,constructorResults.csv,raceId
2,constructorResults.csv,constructorId
3,constructorResults.csv,points
4,constructorResults.csv,status
0,constructors.csv,constructorId
1,constructors.csv,constructorRef
2,constructors.csv,name
3,constructors.csv,nationality
4,constructors.csv,url
5,constructors.csv,Unnamed: 5
0,constructorStandings.csv,constructorStandingsId
1,constructorStandings.csv,raceId
2,constructorStandings.csv,constructorId
3,constructorStandings.csv,points
4,constructorStandings.csv,position
5,constructorStandings.csv,positionText
6,constructorStandings.csv,wins
7,constructorStandings.csv,Unnamed: 7
0,drivers.csv,driverId
1,drivers.csv,driverRef
2,drivers.csv,number
3,drivers.csv,code
4,drivers.csv,forename
5,drivers.csv,surname
6,drivers.csv,dob
7,drivers.csv,nationality
8,drivers.csv,url
0,driverStandings.csv,driverStandingsId
1,driverStandings.csv,raceId
2,driverStandings.csv,driverId
3,driverStandings.csv,points
4,driverStandings.csv,position
5,driverStandings.csv,positionText
6,driverStandings.csv,wins
0,lapTimes.csv,raceId
1,lapTimes.csv,driverId
2,lapTimes.csv,lap
3,lapTimes.csv,position
4,lapTimes.csv,time
5,lapTimes.csv,milliseconds
0,pitStops.csv,raceId
1,pitStops.csv,driverId
2,pitStops.csv,stop
3,pitStops.csv,lap
4,pitStops.csv,time
5,pitStops.csv,duration
6,pitStops.csv,milliseconds
0,qualifying.csv,qualifyId
1,qualifying.csv,raceId
2,qualifying.csv,driverId
3,qualifying.csv,constructorId
4,qualifying.csv,number
5,qualifying.csv,position
6,qualifying.csv,q1
7,qualifying.csv,q2
8,qualifying.csv,q3
0,races.csv,raceId
1,races.csv,year
2,races.csv,round
3,races.csv,circuitId
4,races.csv,name
5,races.csv,date
6,races.csv,time
7,races.csv,url
0,results.csv,resultId
1,results.csv,raceId
2,results.csv,driverId
3,results.csv,constructorId
4,results.csv,number
5,results.csv,grid
6,results.csv,position
7,results.csv,positionText
8,results.csv,positionOrder
9,results.csv,points
10,results.csv,laps
11,results.csv,time
12,results.csv,milliseconds
13,results.csv,fastestLap
14,results.csv,rank
15,results.csv,fastestLapTime
16,results.csv,fastestLapSpeed
17,results.csv,statusId
0,seasons.csv,year
1,seasons.csv,url
0,status.csv,statusId
1,status.csv,status
